time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-09T02:45:29.780Z,17.9731666666667,-65.7958333333333,14.93,2.53,md,6,208,0.1754,0.2,pr,pr71412708,2023-06-09T02:57:19.530Z,"9 km SE of El Negro, Puerto Rico",earthquake,0.94,1.53,0.167192848589083,4,reviewed,pr,pr
2023-06-09T02:39:15.900Z,18.9346666666667,-67.2011666666667,8.94,2.99,md,13,272,0.4724,0.13,pr,pr71412713,2023-06-09T03:59:03.150Z,"",earthquake,0.54,0.73,0.075266257595324,8,reviewed,pr,pr
2023-06-09T02:24:15.403Z,-1.954,125.6854,10,4.7,mb,28,71,3.05,0.67,us,us7000k7a5,2023-06-09T02:47:21.040Z,"34 km WNW of Sanana, Indonesia",earthquake,6.98,1.621,0.11,26,reviewed,us,us
2023-06-09T01:21:53.355Z,33.8176,71.1228,58.111,4.4,mb,27,195,1.796,0.82,us,us7000k79v,2023-06-09T01:46:25.040Z,"31 km S of Landi Kotal, Pakistan",earthquake,8.68,6.742,0.115,22,reviewed,us,us
2023-06-09T01:04:53.136Z,55.3222,163.0929,42.771,4.5,mb,46,122,3.482,0.9,us,us7000k79u,2023-06-09T01:25:18.040Z,"",earthquake,12.17,7.571,0.046,140,reviewed,us,us
2023-06-09T00:40:23.825Z,56.4549,-156.8331,87.5,2.8,ml,,,,0.39,ak,ak0237cm85hq,2023-06-09T01:03:49.040Z,"98 km E of Chignik, Alaska",earthquake,,2.7,,,automatic,ak,ak
2023-06-09T00:30:47.246Z,7.2943,125.8738,126.813,4.6,mb,39,51,6.648,0.84,us,us7000k79m,2023-06-09T03:04:32.588Z,"2 km ENE of Pandasan, Philippines",earthquake,10.58,8.222,0.091,36,reviewed,us,us
2023-06-09T00:00:57.900Z,37.4485,-118.6538333,3.61,2.65,md,24,97,0.1194,0.08,nc,nc73898881,2023-06-09T13:13:33.242Z,"6km NW of Round Valley, CA",earthquake,0.31,1.55,0.169,46,reviewed,nc,nc
2023-06-08T22:59:51.940Z,19.1763333333333,-155.496666666667,36.16,2.88,ml,55,88,,0.11,hv,hv73446332,2023-06-09T20:17:23.150Z,"Island of Hawaii, Hawaii",earthquake,0.39,0.51,0.163137285373821,34,reviewed,hv,hv
2023-06-08T22:57:15.071Z,53.5717,108.482,10,4.4,mb,30,79,3.504,0.73,us,us7000k78z,2023-06-08T23:19:12.040Z,"40 km WNW of Ust’-Barguzin, Russia",earthquake,6.04,1.915,0.117,21,reviewed,us,us
